rearrangement_ID	rearrangement_type	cell_type	capture_WT_raw_data	capture_Mut_raw_data	cite	genome_assembly	chr	start_capture	end_capture	start1	end1	start2	end2	start3	end3	start4	end4	start5	end5	start6	end6	comments	path_to_processed_CTCF_data	CTCF_raw_data	CTCF_input
FirreKO_1	deletion	MEF female	./exp_datasets/SRR6129090-SRR6129091-SRR6129092-SRR6129093-SRR6129094-SRR6129095-SRR6129096-SRR6129097	./exp_datasets/SRR6129098-SRR6129099-SRR6129100-SRR6129101-SRR6129102-SRR6129103-SRR6129104	Barutcu  A. Rasim  et al. "A TAD boundary is preserved upon deletion of the CTCF-rich Firre locus." Nature communications 9.1 (2018): 1-11.	mm10	chrX	50550000	50675000	50555286	50637116												./CTCF_data/CTCF_MEF.narrowPeak	SRX3230671-SRX3230678	SRX3230694-SRX3230695
FirreKO_2	deletion	MEF male	./exp_datasets/SRR6129105-SRR6129106-SRR6129107-SRR6129108	./exp_datasets/SRR6129109-SRR6129110-SRR6129111-SRR6129112-SRR6129113-SRR6129114	Barutcu  A. Rasim  et al. "A TAD boundary is preserved upon deletion of the CTCF-rich Firre locus." Nature communications 9.1 (2018): 1-11.	mm10	chrX	50550000	50675000	50555286	50637116												./CTCF_data/CTCF_MEF.narrowPeak	SRX3230671-SRX3230678	SRX4096947
FirreKO_3	deletion	mESC male	./exp_datasets/SRR6158160-SRR6158161	./exp_datasets/SRR6158158-SRR6158159	Barutcu  A. Rasim  et al. "A TAD boundary is preserved upon deletion of the CTCF-rich Firre locus." Nature communications 9.1 (2018): 1-11.	mm10	chrX	50550000	50675000	50555286	50637116												./CTCF_data/CTCF_MEF.narrowPeak	SRX3230671-SRX3230678	SRX4096948
i4i5	deletion_2	FLHL	./exp_datasets/SRR8284500-SRR8284501-SRR8984911	./exp_datasets/SRR8284495-SRR8284496	Paliou  Christina  et al. "Preformed chromatin topology assists transcriptional robustness of Shh during limb development." Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399.	mm10	chr5	27460000	30345000	29293392	29293421	29336029	29336056										./CTCF_data/CTCF_FLHL-E105.narrowPeak	SRX5099280;SRX5099281	SRX4096949
i4i5ZRS_1	deletion_3	FLHL	./exp_datasets/SRR8284500-SRR8284501-SRR8984911	./exp_datasets/SRR8284497-SRR8284498	Paliou  Christina  et al. "Preformed chromatin topology assists transcriptional robustness of Shh during limb development." Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399.	mm10	chr5	27460000	30345000	29293392	29293421	29336029	29336056	29314814	29314832								./CTCF_data/CTCF_FLHL-E105.narrowPeak	SRX5099280;SRX5099281	SRX4096952
i4i5ZRS_2	deletion_3	midbrain	./exp_datasets/SRR8284503-SRR8284504	./exp_datasets/SRR8984913-SRR8984914	Paliou  Christina  et al. "Preformed chromatin topology assists transcriptional robustness of Shh during limb development." Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399.	mm10	chr5	27460000	30345000	29293392	29293421	29336029	29336056	29314814	29314832								./CTCF_data/CTCF_FLHL-E105.narrowPeak	SRX5099280;SRX5099281	SRX4096953
i4i5ZRSreg	deletion_3	FLHL	./exp_datasets/SRR8284500-SRR8284501-SRR8984911	./exp_datasets/SRR8984915-SRR8984916	Paliou  Christina  et al. "Preformed chromatin topology assists transcriptional robustness of Shh during limb development." Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399.	mm10	chr5	27460000	30345000	29293392	29293421	29336029	29336056	29314818	29315227								./CTCF_data/CTCF_FLHL-E105.narrowPeak	SRX5099280;SRX5099281	SRX4096951
Inv1	inversion	forelimb E11.5	./exp_datasets/SRR7500315	./exp_datasets/SRR7500316	Kraft  Katerina  et al. "Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations." Nature cell biology 21.3 (2019): 305-310.	mm10	chr1	70945000	81015000	75279391	75902131												./CTCF_data/CTCF_FL-E115.narrowPeak	SRX1975279	SRX4096960
Inv1-Mm_1	inversion	Hindlimb E11.5	./exp_datasets/SRR6024961-SRR6024962-SRR6024963-SRR6024964	./exp_datasets/SRR6451287-SRR7203995	Kragesteen  Bjñrt K.  et al. "Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis." Nature genetics 50.10 (2018): 1463-1473.	mm10	chr13	53895001	57200000	56048376	56160753												./CTCF_data/CTCF_HL-E115.narrowPeak	SRX1975285-SRX1975286	SRX4096967
Inv1-Mm_2	inversion	Forelimb E11.5	./exp_datasets/SRR6024957-SRR6024958-SRR6024959-SRR6024960	./exp_datasets/SRR6024979-SRR6024980	Kragesteen  Bjñrt K.  et al. "Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis." Nature genetics 50.10 (2018): 1463-1473.	mm10	chr13	53895001	57200000	56048376	56160753												./CTCF_data/CTCF_HL-E115.narrowPeak	SRX1975285-SRX1975286	SRX4096968
Inv1d	inversion	forelimb E11.5	./exp_datasets/SRR7500315	./exp_datasets/SRR7500320	Kraft  Katerina  et al. "Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations." Nature cell biology 21.3 (2019): 305-310.	mm10	chr1	70945000	81015000	75650966	75655176												./CTCF_data/CTCF_FL-E115.narrowPeak	SRX1975279	SRX4096964
Inv2	inversion	forelimb E11.5	./exp_datasets/SRR7500315	./exp_datasets/SRR7500317	Kraft  Katerina  et al. "Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations." Nature cell biology 21.3 (2019): 305-310.	mm10	chr1	70945000	81015000	75135035	75902131												./CTCF_data/CTCF_FL-E115.narrowPeak	SRX1975279	SRX4096961
Inv3	inversion	forelimb E11.5	./exp_datasets/SRR7500315	./exp_datasets/SRR7500318	Kraft  Katerina  et al. "Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations." Nature cell biology 21.3 (2019): 305-310.	mm10	chr1	70945000	81015000	74887741	75902131												./CTCF_data/CTCF_FL-E115.narrowPeak	SRX1975279	SRX4096962
Inv4	inversion	forelimb E11.5	./exp_datasets/SRR7500315	./exp_datasets/SRR7500319	Kraft  Katerina  et al. "Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations." Nature cell biology 21.3 (2019): 305-310.	mm10	chr1	70945000	81015000	7489655	78902131												./CTCF_data/CTCF_FL-E115.narrowPeak	SRX1975279	SRX4096963
InvC	inversion	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR8453396-SRR8453397	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	111522535	112653434												./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096965
InvF	inversion	E11.5 distal limb buds	./exp_datasets/SRR5099908	./exp_datasets/SRR5099911	Bianco  Simona  et al. "Polymer physics predicts the effects of structural variants on chromatin architecture." Nature genetics 50.5 (2018): 662-667.	mm10	chr1	70945000	81010000	74786262	75902132												./CTCF_data/CTCF_HL-E115.narrowPeak	SRX1975285-SRX1975286	SRX4096959
InvIntra	inversion	E12.5 limb buds	./exp_datasets/SRR3179588	./exp_datasets/SRR8453398-SRR8453399	Franke  Martin  et al. "Formation of new chromatin domains determines pathogenicity of genomic duplications." Nature 538.7624 (2016): 265-269.	mm10	chr11	109140001	115015000	111540879	112653434												./CTCF_data/CTCF_E125.narrowPeak	SRX5259427-SRX5259428	SRX4096966
Kit30	deletion	mast_cell				mm10	chr5	74130000	76415000	75852780	75881218												./CTCF_data/mast_cells.narrowPeak	our data	our data
Kit30plus	deletion	mast_cell				mm10	chr5	74130000	76415000	75736367	757336679	75852780	75881218										./CTCF_data/mast_cells.narrowPeak	our data	our data
Lprom	deletion	FLHL	./exp_datasets/SRR8284500-SRR8284501-SRR8984911	./exp_datasets/SRR8284499-SRR8984910	Paliou  Christina  et al. "Preformed chromatin topology assists transcriptional robustness of Shh during limb development." Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399.	mm10	chr5	27460000	30345000														./CTCF_data/CTCF_FLHL-E105.narrowPeak	SRX5099280;SRX5099281	SRX4096945
MusDelB	deletion	E11.5 distal limb buds	./exp_datasets/SRR5099908	./exp_datasets/SRR5099909	Bianco  Simona  et al. "Polymer physics predicts the effects of structural variants on chromatin architecture." Nature genetics 50.5 (2018): 662-667.	mm10	chr1	70945000	81010000	76395828	78067689												./CTCF_data/CTCF_HL-E115.narrowPeak	SRX1975285-SRX1975286	SRX4096939
Neur1-Mm	deletion	Forelimb E11.5	./exp_datasets/SRR6024957-SRR6024958-SRR6024959-SRR6024960	./exp_datasets/SRR6024987-SRR6024988	Kragesteen  Bjñrt K.  et al. "Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis." Nature genetics 50.10 (2018): 1463-1473.	mm10	chr13	53895001	57200000	56219601	56264136												./CTCF_data/CTCF_FL-E115.narrowPeak	SRX1975279	SRX4096943
ZRSreg	deletion	FLHL	./exp_datasets/SRR8284500-SRR8284501-SRR8984911	./exp_datasets/SRR8984912	Paliou  Christina  et al. "Preformed chromatin topology assists transcriptional robustness of Shh during limb development." Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399.	mm10	chr5	27460000	30345000	29314818	29315227												./CTCF_data/CTCF_FLHL-E105.narrowPeak	SRX5099280;SRX5099281	SRX4096944
