rearrangement_ID	rearrangement_type	cell_type	capture_WT_data_archive	capture_Mut_data_archive	capture_WT_data	capture_Mut_data	cite	genome_assembly	chr	start_prediction	end_prediction	start_capture	end_capture	start1	end1	start2	end2	start3	end3	start4	end4	start5	end5	CTCF_data	capture_WT_data_AlenaServer	capture_Mut_data_AlenaServer
DelBs	deletion	E11.5 distal limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5099908.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR5099910.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5099908	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR5099910	"Bianco  Simona  et al. ""Polymer physics predicts the effects of structural variants on chromatin architecture."" Nature genetics 50.5 (2018): 662-667."	mm10	chr1	70945000	81010000	70945000	81010000	76392403	77862399									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_HL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR5099908/	/storage/hic_data_for_3DBench/SRR5099910/
DelL-Mm	deletion	Forelimb E11.5	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6024957-SRR6024958-SRR6024959-SRR6024960.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6024981-SRR6024982.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6024957-SRR6024958-SRR6024959-SRR6024960	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6024981-SRR6024982	"Kragesteen  Bjort K.  et al. ""Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis."" Nature genetics 50.10 (2018): 1463-1473."	mm10	chr13	53895001	57200000	53895001	57200000	56048376	56147390									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR6024957-SRR6024958-SRR6024959-SRR6024960/	/storage/hic_data_for_3DBench/SRR6024981-SRR6024982/
dup-C	duplication	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3733921.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3733921	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	110910796	112653378									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR3733921/
dup-L	duplication	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179589.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179589	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	111098275	112653378									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR3179589/
Dup-LBor	duplication_deletion	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179591.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179591	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	111098275	112653378	111522545	111540886							https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR3179591/
dup-S	duplication	E12.5 limb buds	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3179588.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR3733922.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3179588	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR3733922	"Franke  Martin  et al. ""Formation of new chromatin domains determines pathogenicity of genomic duplications."" Nature 538.7624 (2016): 265-269."	mm10	chr11	109140001	115015000	109140001	115015000	111891303	112311622									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_E125.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR3179588/	/storage/hic_data_for_3DBench/SRR3733922/
FirreKO_1	deletion	MEF female	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6129090-SRR6129091-SRR6129092-SRR6129093-SRR6129094-SRR6129095-SRR6129096-SRR6129097.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6129098-SRR6129099-SRR6129100-SRR6129101-SRR6129102-SRR6129103-SRR6129104.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6129090-SRR6129091-SRR6129092-SRR6129093-SRR6129094-SRR6129095-SRR6129096-SRR6129097	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6129098-SRR6129099-SRR6129100-SRR6129101-SRR6129102-SRR6129103-SRR6129104	"Barutcu  A. Rasim  et al. ""A TAD boundary is preserved upon deletion of the CTCF-rich Firre locus."" Nature communications 9.1 (2018): 1-11."	mm10	chrX	50550000	50675000	50550000	50675000	50555286	50637116									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_MEF.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR6129090-SRR6129091-SRR6129092-SRR6129093-SRR6129094-SRR6129095-SRR6129096-SRR6129097/	/storage/hic_data_for_3DBench/SRR6129098-SRR6129099-SRR6129100-SRR6129101-SRR6129102-SRR6129103-SRR6129104/
FirreKO_2	deletion	MEF male	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6129105-SRR6129106-SRR6129107-SRR6129108.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6129109-SRR6129110-SRR6129111-SRR6129112-SRR6129113-SRR6129114.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6129105-SRR6129106-SRR6129107-SRR6129108	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6129109-SRR6129110-SRR6129111-SRR6129112-SRR6129113-SRR6129114	"Barutcu  A. Rasim  et al. ""A TAD boundary is preserved upon deletion of the CTCF-rich Firre locus."" Nature communications 9.1 (2018): 1-11."	mm10	chrX	50550000	50675000	50550000	50675000	50555286	50637116									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_MEF.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR6129105-SRR6129106-SRR6129107-SRR6129108/	/storage/hic_data_for_3DBench/SRR6129109-SRR6129110-SRR6129111-SRR6129112-SRR6129113-SRR6129114/
FirreKO_3	deletion	mESC male	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6158160-SRR6158161.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6158158-SRR6158159.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6158160-SRR6158161	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6158158-SRR6158159	"Barutcu  A. Rasim  et al. ""A TAD boundary is preserved upon deletion of the CTCF-rich Firre locus."" Nature communications 9.1 (2018): 1-11."	mm10	chrX	50550000	50675000	50550000	50675000	50555286	50637116									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_MEF.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR6158160-SRR6158161/	/storage/hic_data_for_3DBench/SRR6158158-SRR6158159/
i4i5	deletion_deletion	FLHL	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8284500-SRR8284501-SRR8984911.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8284495-SRR8284496.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8284500-SRR8284501-SRR8984911	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8284495-SRR8284496	"Paliou  Christina  et al. ""Preformed chromatin topology assists transcriptional robustness of Shh during limb development."" Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399."	mm10	chr5	27460000	30345000	27460000	30345000	29293392	29293421	29336029	29336056							https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FLHL-E105.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR8284500-SRR8284501-SRR8984911/	/storage/hic_data_for_3DBench/SRR8284495-SRR8284496/
i4i5ZRS_1	deletion_deletion_deletion	FLHL	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8284500-SRR8284501-SRR8984911.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8284497-SRR8284498.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8284500-SRR8284501-SRR8984911	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8284497-SRR8284498	"Paliou  Christina  et al. ""Preformed chromatin topology assists transcriptional robustness of Shh during limb development."" Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399."	mm10	chr5	27460000	30345000	27460000	30345000	29293392	29293421	29336029	29336056	29314814	29314832					https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FLHL-E105.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR8284500-SRR8284501-SRR8984911/	/storage/hic_data_for_3DBench/SRR8284497-SRR8284498/
i4i5ZRS_2	deletion_deletion_deletion	midbrain	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8284503-SRR8284504.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8984913-SRR8984914.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8284503-SRR8284504	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8984913-SRR8984914	"Paliou  Christina  et al. ""Preformed chromatin topology assists transcriptional robustness of Shh during limb development."" Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399."	mm10	chr5	27460000	30345000	27460000	30345000	29293392	29293421	29336029	29336056	29314814	29314832					https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FLHL-E105.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR8284503-SRR8284504/	/storage/hic_data_for_3DBench/SRR8984913-SRR8984914/
i4i5ZRSreg	deletion_deletion_deletion	FLHL	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8284500-SRR8284501-SRR8984911.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR8984915-SRR8984916.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8284500-SRR8284501-SRR8984911	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR8984915-SRR8984916	"Paliou  Christina  et al. ""Preformed chromatin topology assists transcriptional robustness of Shh during limb development."" Proceedings of the National Academy of Sciences 116.25 (2019): 12390-12399."	mm10	chr5	27460000	30345000	27460000	30345000	29293392	29293421	29336029	29336056	29314818	29315227					https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FLHL-E105.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR8284500-SRR8284501-SRR8984911/	/storage/hic_data_for_3DBench/SRR8984915-SRR8984916/
Inv1	inversion	forelimb E11.5	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500315.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR7500316.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500315	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR7500316	"Kraft  Katerina  et al. ""Serial genomic inversions induce tissue-specific architectural stripes  gene misexpression and congenital malformations."" Nature cell biology 21.3 (2019): 305-310."	mm10	chr1	70945000	81015000	70945000	81015000	75279391	75902131									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_FL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR7500315/	/storage/hic_data_for_3DBench/SRR7500316/
Inv1-Mm_1	inversion	Hindlimb E11.5	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6024961-SRR6024962-SRR6024963-SRR6024964.tar.gz	https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/hic_dataset_zipped/SRR6451287-SRR7203995.tar.gz	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6024961-SRR6024962-SRR6024963-SRR6024964	https://genedev.bionet.nsc.ru/hic_out/Unordered/INC_COST_3DBenchmark_%5bremake%5d/SRR6451287-SRR7203995	"Kragesteen  Bjort K.  et al. ""Dynamic 3D chromatin architecture contributes to enhancer specificity and limb morphogenesis."" Nature genetics 50.10 (2018): 1463-1473."	mm10	chr13	53895001	57200000	53895001	57200000	56048376	56160753									https://genedev.bionet.nsc.ru/hic_out/by_Project/INC_COST_3DBenchmark/CTCF_data/CTCF_HL-E115.oriented.narrowPeak.gz	/storage/hic_data_for_3DBench/SRR6024961-SRR6024962-SRR6024963-SRR6024964/	/storage/hic_data_for_3DBench/SRR6451287-SRR7203995/
